user_id,username,password
1,JohnDoe,Password123
2,JaneSmith,SecurePass456
3,MikeJohnson,HiddenWord789
4,EmilyJones,Access1234
5,AlexWilliams,SecretCode567
6,SarahBrown,Passphrase890
7,ChrisMiller,Protected456
8,AmandaDavis,Secure123Pass
9,KevinClark,HiddenKey789
10,OliviaTaylor,AccessGranted1
11,MarkRoberts,Confidential42
12,RachelWhite,Classified789
13,BrianLee,SecureAccess123
14,JessicaWard,HiddenPass456
15,JustinBaker,Password7890
16,MeganTurner,PrivateKey123
17,EricHill,Safeguard456
18,AshleyGreen,AccessDenied789
19,DerekCarter,SecureLogin123
20,LaurenHall,ProtectedPass56
21,GaryFisher,SecretKey789
22,LisaMartinez,Access12345
23,StevenWright,HiddenWord456
24,NatalieAdams,ConfidentialKey
25,PatrickScott,SecurePassword1
